id,formula_name_pinyin,formula_name_english,main_indication_short,Enhanced_Nutrition_Modern_Diets
108,Tai Shan Pan Shi San,Tai Mountain Stable as Rock Powder,Kidney deficiency with Qi and Blood deficiency causing recurrent miscarriage.,"🥩 Organic grass-fed meats (if eating meat), Pasture-raised eggs, Organic poultry | 🥬 Dark leafy greens (cooked), Beets, Black beans, Black sesame | 🐟 Wild salmon, Sardines | 🌰 Walnuts, Almonds | 🫖 Red raspberry leaf tea, Nettle tea | Avoid: Cold/raw foods, excess dairy, iced drinks, processed foods, soy (if estrogen dominant) | 🥄 Diet: Hormone-balancing omnivore, Paleo for women, Pescatarian; Focus on warm nourishing foods"
109,Bao Yin Jian,Preserve Yin Decoction,Yin deficiency with Heat signs in pregnancy with restless fetus.,"🥩 Organic grass-fed meats (if eating meat), Pasture-raised eggs, Organic poultry | 🥬 Dark leafy greens (cooked), Beets, Black beans, Black sesame | 🐟 Wild salmon, Sardines | 🌰 Walnuts, Almonds | 🫖 Red raspberry leaf tea, Nettle tea | Avoid: Cold/raw foods, excess dairy, iced drinks, processed foods, soy (if estrogen dominant) | 🥄 Diet: Hormone-balancing omnivore, Paleo for women, Pescatarian; Focus on warm nourishing foods"
110,Tiao Gan Tang,Regulate the Liver Decoction,Liver/Kidney Yin deficiency with Blood stasis in irregular menses.,"🥬 Dark leafy greens, Brassicas (broccoli, Brussels sprouts, cabbage, kale), Beets, Artichoke, Celery | 🍋 Lemon water (morning), Citrus peel | 🍵 Mint tea, Rose tea, Chrysanthemum | 🫒 Olive oil | Avoid: Alcohol, coffee (excess), heavy fatty meals, processed foods | 🥄 Diet: Mediterranean (best), Vegan/Vegetarian (excellent), Flexitarian, Omnivore; All diets suitable with emphasis on vegetables"
111,Er Xian Tang,Two Immortals Decoction,Kidney Yin and Yang deficiency with menopausal symptoms.,"🥩 Organic grass-fed meats (if eating meat), Pasture-raised eggs, Organic poultry | 🥬 Dark leafy greens (cooked), Beets, Black beans, Black sesame | 🐟 Wild salmon, Sardines | 🌰 Walnuts, Almonds | 🫖 Red raspberry leaf tea, Nettle tea | Avoid: Cold/raw foods, excess dairy, iced drinks, processed foods, soy (if estrogen dominant) | 🥄 Diet: Hormone-balancing omnivore, Paleo for women, Pescatarian; Focus on warm nourishing foods"
112,Zhi Bai Ba Wei Wan,Anemarrhena Phellodendron Eight-Ingredient Pill,Kidney Yin deficiency with Fire for hot flashes and night sweats.,"🐟 Wild fish, Oysters, Seaweed (nori, kombu), Black sesame, Black beans, Black rice, Eggs, Bone marrow | 🥣 Miso soup | 🌱 Vegan options: Walnuts, goji berries, mulberries | 🥛 Almond milk | Avoid: Spicy, fried, alcohol, coffee, excess salt | 🥄 Diet: Mediterranean (best), Pescatarian (excellent), Omnivore, Plant-based (with seeds/nuts); All diets adaptable"
113,Xue Zhi Ning,Blood Stasis Calming Formula,Modern formula for uterine fibroids with Blood stasis.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
114,Qu Yu Sheng Xin Tang,Remove Stasis Generate New Decoction,Blood stasis with severe menstrual pain and clots.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
115,Nu Ke Ba Zhen Tang,Women's Eight Treasures,Qi and Blood deficiency specific to women's health needs.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
116,Xiao Er Qi Xing Cha,Pediatric Seven Star Tea,Childhood Heat and digestive disturbances with irritability.,"🍚 Easy-to-digest whole grains, Sweet potato, Chicken soup (if not vegetarian), Well-cooked vegetables, Fresh fruits (non-tropical) | 🥛 Nut milks (if no allergies) | 🍯 Small amounts honey (>1 year old) | Avoid: Sugar, artificial additives, processed snacks, excessive dairy, cold/iced foods, junk food | 🥄 Diet: Whole foods for children, Organic when possible, No refined sugars; Age-appropriate portions"
117,Xiao Er Bai Shou Wu Pian,Children's Polygonum Tablet,Childhood weakness with poor appetite and restless sleep.,"🍚 Easy-to-digest whole grains, Sweet potato, Chicken soup (if not vegetarian), Well-cooked vegetables, Fresh fruits (non-tropical) | 🥛 Nut milks (if no allergies) | 🍯 Small amounts honey (>1 year old) | Avoid: Sugar, artificial additives, processed snacks, excessive dairy, cold/iced foods, junk food | 🥄 Diet: Whole foods for children, Organic when possible, No refined sugars; Age-appropriate portions"
118,Xiao Er Zhi Bao Wan,Children's Precious Pill,Childhood Heat with convulsions and restlessness.,"🍚 Easy-to-digest whole grains, Sweet potato, Chicken soup (if not vegetarian), Well-cooked vegetables, Fresh fruits (non-tropical) | 🥛 Nut milks (if no allergies) | 🍯 Small amounts honey (>1 year old) | Avoid: Sugar, artificial additives, processed snacks, excessive dairy, cold/iced foods, junk food | 🥄 Diet: Whole foods for children, Organic when possible, No refined sugars; Age-appropriate portions"
119,Xiao Er Xiao Ji Tang,Children's Reduce Accumulation Decoction,Food stagnation in children with poor appetite and abdominal distention.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
120,Fei Er Wan,Fatten Children Pill,Spleen deficiency with nutritional disorders in children.,"🍚 Easy-to-digest whole grains, Sweet potato, Chicken soup (if not vegetarian), Well-cooked vegetables, Fresh fruits (non-tropical) | 🥛 Nut milks (if no allergies) | 🍯 Small amounts honey (>1 year old) | Avoid: Sugar, artificial additives, processed snacks, excessive dairy, cold/iced foods, junk food | 🥄 Diet: Whole foods for children, Organic when possible, No refined sugars; Age-appropriate portions"
121,Xiao Er Gan Mao Qing Re Ke Li,Children's Clear Heat Cold Granules,Pediatric Wind-Heat cold with fever and cough.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
122,Xing Su San,Apricot Kernel and Perilla Powder,Mild Wind-Cold affecting Lungs with cough in children.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
123,Hua Gai San,Canopy Powder,Phlegm-Damp cough with wheeze in weak patients or children.,"🍚 Easy-to-digest whole grains, Sweet potato, Chicken soup (if not vegetarian), Well-cooked vegetables, Fresh fruits (non-tropical) | 🥛 Nut milks (if no allergies) | 🍯 Small amounts honey (>1 year old) | Avoid: Sugar, artificial additives, processed snacks, excessive dairy, cold/iced foods, junk food | 🥄 Diet: Whole foods for children, Organic when possible, No refined sugars; Age-appropriate portions"
124,Qing Xuan Bai Du San,Clear and Diffuse Toxin Powder,Epidemic Wind-Heat with skin rashes in children.,"🍚 Easy-to-digest whole grains, Sweet potato, Chicken soup (if not vegetarian), Well-cooked vegetables, Fresh fruits (non-tropical) | 🥛 Nut milks (if no allergies) | 🍯 Small amounts honey (>1 year old) | Avoid: Sugar, artificial additives, processed snacks, excessive dairy, cold/iced foods, junk food | 🥄 Diet: Whole foods for children, Organic when possible, No refined sugars; Age-appropriate portions"
125,Liu Yi San,Six-to-One Powder,Summer-Heat with dampness causing thirst and urinary difficulty.,"🍚 Easy-to-digest whole grains, Sweet potato, Chicken soup (if not vegetarian), Well-cooked vegetables, Fresh fruits (non-tropical) | 🥛 Nut milks (if no allergies) | 🍯 Small amounts honey (>1 year old) | Avoid: Sugar, artificial additives, processed snacks, excessive dairy, cold/iced foods, junk food | 🥄 Diet: Whole foods for children, Organic when possible, No refined sugars; Age-appropriate portions"
126,Xiao Ji Yin Zi,Small Thistle Drink,Blood Heat with bleeding tendency affecting urinary tract or skin.,"🥒 Cooling vegetables (cucumber, celery, lettuce, bok choy), Watermelon, Pear, Asian pear, Mung beans, Tofu | 🍵 Chrysanthemum tea, Mint tea, Green tea | 🌿 Cilantro, Watercress | Avoid: Spicy foods, fried foods, alcohol, red meat, lamb, shrimp, coffee, chocolate | 🥄 Diet: Vegan/Vegetarian (ideal during treatment), Raw vegan (short-term), Macrobiotic, Cooling foods focus"
127,Qu Feng Zhi Yang Fang,Expel Wind Stop Itch Formula,Wind-Heat in skin with intense itching and hives.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
128,Qing Re Qu Shi Yin,Clear Heat Remove Dampness Drink,Damp-Heat skin conditions with oozing and inflammation.,"🥬 Bitter greens (dandelion, endive), Celery, Cucumber, Mung beans, Adzuki beans, Barley, Job's tears, Winter melon | 🫖 Green tea, Corn silk tea | Avoid: Dairy (all types), sugar, alcohol, greasy/fried foods, shellfish, spicy foods, tropical fruits, wheat | 🥄 Diet: Vegan/Vegetarian (best), Grain-free (avoid gluten), Non-dairy essential, Low-glycemic; Incompatible with: Dairy-heavy diets"
129,Liang Xue Xiao Feng San,Cool Blood Eliminate Wind Powder,Blood Heat with Wind causing red itchy skin eruptions.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
130,Tu Fu Ling Qu Shi Tang,Smilax Remove Dampness Decoction,Damp-Heat toxin affecting skin with stubborn lesions.,"🥬 Bitter greens (dandelion, endive), Celery, Cucumber, Mung beans, Adzuki beans, Barley, Job's tears, Winter melon | 🫖 Green tea, Corn silk tea | Avoid: Dairy (all types), sugar, alcohol, greasy/fried foods, shellfish, spicy foods, tropical fruits, wheat | 🥄 Diet: Vegan/Vegetarian (best), Grain-free (avoid gluten), Non-dairy essential, Low-glycemic; Incompatible with: Dairy-heavy diets"
131,Yang Xue Run Fu Yin,Nourish Blood Moisten Skin Drink,Blood deficiency with Wind-Dryness causing dry flaky skin.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
132,Xiao Du Yin,Eliminate Toxin Drink,Fire toxin with carbuncles boils and deep skin infections.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
133,Wu Wei Xiao Du Yin,Five-Ingredient Eliminate Toxin Drink,Fire toxin causing red hot swollen skin lesions.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
134,Xian Fang Huo Ming Yin,Sublime Formula for Sustaining Life,Early-stage abscess with Heat toxin and stagnation.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
135,Tuo Li Xiao Du San,Support Interior Eliminate Toxin Powder,Qi and Blood deficiency with persistent skin infections.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
136,Huang Qi Jian Zhong Tang,Astragalus Construct the Middle Decoction,Spleen and Stomach deficiency with chronic abdominal pain.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
137,Xiang Sha Yang Wei Wan,Aucklandia Amomum Nourish Stomach Pill,Spleen-Stomach deficiency with Cold-Damp and poor appetite.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
138,Liang Fu Wan,Alpinia and Cyperus Pill,Cold stagnation in Stomach with Liver Qi involvement causing pain.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
139,Xuan Fu Dai Zhe Tang,Inula and Hematite Decoction,Rebellious Stomach Qi with Phlegm causing nausea and hiccup.,"🥔 Sweet potato, Oats, Bananas, Melons, Leafy greens (not raw), Fennel, Ginger (small amounts) | 🥣 Non-acidic soups | Avoid: Spicy foods, fried foods, citrus, tomatoes, onions (raw), garlic (raw), caffeine, alcohol, chocolate, mint, carbonated drinks | 🥄 Diet: Low-acid alkaline diet, GERD-friendly, Small frequent meals; Avoid: High-acid foods, large meals before bed"
140,Ji Chuan Jian,Benefit the River Decoction,Kidney Yang deficiency with Cold causing constipation in elderly.,"🥩 Lamb, Venison, Grass-fed beef, Bone broth with marrow, Organic chicken | 🦐 Shrimp, Mussels, Clams | 🌰 Walnuts, Chestnuts, Pine nuts | 🧄 Garlic, Ginger, Cinnamon, Clove | Avoid: Raw/cold foods, iced drinks, tropical fruits | 🥄 Diet: Carnivore (short-term), Paleo (best), Omnivore with warming foods; Not suitable for: Vegan/Raw diets (too cooling)"
141,Tong You Jian,Unblock the Darkness Decoction,Heat constipation with Yin deficiency and difficult evacuation.,"🥬 High-fiber vegetables (leafy greens, broccoli), Prunes, Figs, Flax seeds, Chia seeds, Psyllium husk, Sesame seeds, Hemp seeds | 💧 Adequate hydration (8+ glasses water) | 🥑 Healthy fats (avocado, olive oil, coconut oil) | 🍠 Sweet potato | Avoid: Refined grains, excess cheese/dairy, low-fiber foods, dehydration | 🥄 Diet: High-fiber vegan/vegetarian (ideal), Mediterranean, Whole-food plant-based; Increase to 30-40g fiber daily"
142,Tong Xie Ning,Painful Diarrhea Calming Formula,Modern IBS-D formula with Liver-Spleen disharmony.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
143,Wei Te Ling,Stomach Special Effective Formula,Modern gastritis formula with Qi stagnation and Blood stasis.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
144,Ban Xia Xie Xin Tang Jia Wei,Modified Pinellia Drain Epigastrium Decoction,Mixed Cold-Heat pattern with chronic gastric disorders.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
145,Jian Pi Xiao Shi Wan,Fortify Spleen Reduce Food Pill,Spleen deficiency with food accumulation and bloating.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
146,Su Zi Jiang Qi Tang,Perilla Seed Direct Qi Downward Decoction,Phlegm and rebellious Lung Qi with cough and wheeze.,"🥬 Cruciferous vegetables (broccoli, cauliflower), Garlic, Ginger, Turmeric | 🐟 Omega-3 fish (reduces inflammation) | 🍊 Vitamin C rich foods | 🫖 Mullein tea, Thyme tea | 🍯 Honey (antibacterial) | Avoid: Dairy (mucus-forming), processed foods, sugar, fried foods, cold drinks, allergens | 🥄 Diet: Anti-inflammatory, Dairy-free, Mediterranean, Whole-food plant-based; Identify and avoid triggers"
147,Ding Chuan Tang,Arrest Wheezing Decoction,Wind-Cold with internal Phlegm-Heat causing asthma.,"🥬 Cruciferous vegetables (broccoli, cauliflower), Garlic, Ginger, Turmeric | 🐟 Omega-3 fish (reduces inflammation) | 🍊 Vitamin C rich foods | 🫖 Mullein tea, Thyme tea | 🍯 Honey (antibacterial) | Avoid: Dairy (mucus-forming), processed foods, sugar, fried foods, cold drinks, allergens | 🥄 Diet: Anti-inflammatory, Dairy-free, Mediterranean, Whole-food plant-based; Identify and avoid triggers"
148,She Gan Ma Huang Tang,Belamcanda and Ephedra Decoction,Phlegm-Fluid retention with Cold causing wheezing.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
149,Ling Gan Wu Wei Jiang Xin Tang,Poria Licorice Five-Flavor Ginger Asarum Decoction,Cold-Phlegm in Lungs with watery sputum and cough.,"🥬 Cruciferous vegetables (broccoli, cauliflower), Garlic, Ginger, Turmeric | 🐟 Omega-3 fish (reduces inflammation) | 🍊 Vitamin C rich foods | 🫖 Mullein tea, Thyme tea | 🍯 Honey (antibacterial) | Avoid: Dairy (mucus-forming), processed foods, sugar, fried foods, cold drinks, allergens | 🥄 Diet: Anti-inflammatory, Dairy-free, Mediterranean, Whole-food plant-based; Identify and avoid triggers"
150,Qing Fei Tang,Clear the Lungs Decoction,Lung Heat with Phlegm causing cough and thick yellow sputum.,"🥒 Cooling vegetables (cucumber, celery, lettuce, bok choy), Watermelon, Pear, Asian pear, Mung beans, Tofu | 🍵 Chrysanthemum tea, Mint tea, Green tea | 🌿 Cilantro, Watercress | Avoid: Spicy foods, fried foods, alcohol, red meat, lamb, shrimp, coffee, chocolate | 🥄 Diet: Vegan/Vegetarian (ideal during treatment), Raw vegan (short-term), Macrobiotic, Cooling foods focus"
151,Sang Xing Tang,Mulberry and Apricot Kernel Decoction,Warm-Dryness injuring Lung fluids with dry cough.,"🍐 Pear (Asian pear best), Lily bulb, White fungus (tremella), Honey (raw), Almonds, Sesame seeds | 🥣 Congee (rice porridge) | 🥛 Almond milk, Soy milk | 🫖 Marshmallow root tea | Avoid: Spicy foods, fried foods, drying foods (excess salt), alcohol, smoking | 🥄 Diet: Vegetarian/Vegan (excellent), Macrobiotic, Whole-food plant-based; Focus on moistening foods"
152,Qing Zao Jiu Fei Tang,Clear Dryness Rescue the Lungs Decoction,Warm-Dryness severely injuring Lung Yin with dry cough.,"🍐 Pear (Asian pear best), Lily bulb, White fungus (tremella), Honey (raw), Almonds, Sesame seeds | 🥣 Congee (rice porridge) | 🥛 Almond milk, Soy milk | 🫖 Marshmallow root tea | Avoid: Spicy foods, fried foods, drying foods (excess salt), alcohol, smoking | 🥄 Diet: Vegetarian/Vegan (excellent), Macrobiotic, Whole-food plant-based; Focus on moistening foods"
153,Bai He Gu Jin Tang,Lily Preserve Metal Decoction,Lung and Kidney Yin deficiency with chronic dry cough.,"🍐 Pear (Asian pear best), Lily bulb, White fungus (tremella), Honey (raw), Almonds, Sesame seeds | 🥣 Congee (rice porridge) | 🥛 Almond milk, Soy milk | 🫖 Marshmallow root tea | Avoid: Spicy foods, fried foods, drying foods (excess salt), alcohol, smoking | 🥄 Diet: Vegetarian/Vegan (excellent), Macrobiotic, Whole-food plant-based; Focus on moistening foods"
154,Sha Shen Mai Dong Tang,Glehnia and Ophiopogon Decoction,Dry Heat injuring Lung and Stomach Yin with dry throat.,"🍐 Pear (Asian pear best), Lily bulb, White fungus (tremella), Honey (raw), Almonds, Sesame seeds | 🥣 Congee (rice porridge) | 🥛 Almond milk, Soy milk | 🫖 Marshmallow root tea | Avoid: Spicy foods, fried foods, drying foods (excess salt), alcohol, smoking | 🥄 Diet: Vegetarian/Vegan (excellent), Macrobiotic, Whole-food plant-based; Focus on moistening foods"
155,Yang Yin Qing Fei Tang,Nourish Yin Clear the Lungs Decoction,Lung Yin deficiency with Fire causing sore throat.,"🥒 Cooling vegetables (cucumber, celery, lettuce, bok choy), Watermelon, Pear, Asian pear, Mung beans, Tofu | 🍵 Chrysanthemum tea, Mint tea, Green tea | 🌿 Cilantro, Watercress | Avoid: Spicy foods, fried foods, alcohol, red meat, lamb, shrimp, coffee, chocolate | 🥄 Diet: Vegan/Vegetarian (ideal during treatment), Raw vegan (short-term), Macrobiotic, Cooling foods focus"
156,Die Da Wan,Trauma Pill,Traumatic injury with Blood stasis swelling and pain.,"🥩 Protein-rich for healing (lean meats, fish, eggs, legumes), Bone broth (collagen), Turmeric + black pepper (anti-inflammatory) | 🥬 Dark leafy greens, Broccoli (Vitamin K), Bell peppers (Vitamin C) | 🍊 Citrus fruits, Pineapple (bromelain) | 🌰 Nuts, Seeds (Vitamin E, zinc) | Avoid: Alcohol, excessive sugar, processed foods | 🥄 Diet: High-protein healing diet, Anti-inflammatory, Omnivore/Paleo; Focus on tissue repair nutrients"
157,Qi Li San,Seven-Thousandths of a Tael Powder,Severe traumatic injury with internal and external bleeding.,"🥩 Protein-rich for healing (lean meats, fish, eggs, legumes), Bone broth (collagen), Turmeric + black pepper (anti-inflammatory) | 🥬 Dark leafy greens, Broccoli (Vitamin K), Bell peppers (Vitamin C) | 🍊 Citrus fruits, Pineapple (bromelain) | 🌰 Nuts, Seeds (Vitamin E, zinc) | Avoid: Alcohol, excessive sugar, processed foods | 🥄 Diet: High-protein healing diet, Anti-inflammatory, Omnivore/Paleo; Focus on tissue repair nutrients"
158,Shi Xiao San,Sudden Smile Powder,Blood stasis causing severe stabbing pain anywhere.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
159,Shu Jin Huo Xue Tang,Relax Sinews Invigorate Blood Decoction,Channel obstruction with stiffness pain and limited mobility.,"🐟 Wild fatty fish (salmon, sardines, mackerel) - anti-inflammatory omega-3, Turmeric + black pepper, Ginger, Tart cherries | 🥬 Dark leafy greens, Broccoli, Brussels sprouts | 🫒 Extra virgin olive oil, Avocado | 🫐 Berries (antioxidants) | Avoid: Nightshades (tomatoes, peppers, eggplant, potatoes), dairy, gluten, sugar, processed foods, red meat, alcohol | 🥄 Diet: AIP (Autoimmune Protocol) - best, Mediterranean anti-inflammatory, Pescatarian, Paleo (modified)"
160,Zheng Gu Zi Jin Dan,Purple Gold Bone-Setting Elixir,Fractures and severe trauma with Qi-Blood stagnation.,"🥩 Protein-rich for healing (lean meats, fish, eggs, legumes), Bone broth (collagen), Turmeric + black pepper (anti-inflammatory) | 🥬 Dark leafy greens, Broccoli (Vitamin K), Bell peppers (Vitamin C) | 🍊 Citrus fruits, Pineapple (bromelain) | 🌰 Nuts, Seeds (Vitamin E, zinc) | Avoid: Alcohol, excessive sugar, processed foods | 🥄 Diet: High-protein healing diet, Anti-inflammatory, Omnivore/Paleo; Focus on tissue repair nutrients"
